time_s,ers_H,ers_M,ers_Lharvest,ers_Lderate,most_likely_ers,most_likely_override,most_likely_tyre
0.0,0.0808255251326504,0.85254802461976,0.030767921640594557,0.03585852860699513,M,available,moderate
1.0,0.08948599603435646,0.8510133454547105,0.028418074938344494,0.031082583572588546,M,available,moderate
2.0,0.09650940683977177,0.8479472801499793,0.026943487860790653,0.028599825149458153,M,available,moderate
3.0,0.10225660554545728,0.8443856430154498,0.026039253184074462,0.027318498255018402,M,available,moderate
4.0,0.10699603912671374,0.8408425708095235,0.025498300304590802,0.026663089759171952,M,available,moderate
5.0,0.11092887813754847,0.8375538901271371,0.025184695688198894,0.026332536047115617,M,available,moderate
6.0,0.11420827807745138,0.8346107024994536,0.025011099297708197,0.026169920125387013,M,available,moderate
7.0,0.11695297702778143,0.8320311743141756,0.02492224328041463,0.02609360537762829,M,available,moderate
8.0,0.11925663904433113,0.8297985960686675,0.024883585800773253,0.02606117908622805,M,available,moderate
9.0,0.12143556203474293,0.8291420044136596,0.02110360103174924,0.028318832519848167,M,spent,moderate
10.0,0.12317613256611433,0.8280785186196677,0.01931800899321535,0.029427339821002523,M,spent,moderate
11.0,0.12460839850836543,0.8269881164126434,0.01831395227888114,0.030089532800110064,M,spent,moderate
12.0,0.12562655662858777,0.8252380847089965,0.021254301963256717,0.027881056699159048,M,spent,moderate
13.0,0.12649063291962692,0.8236931550260894,0.023016950760232146,0.0267992612940514,M,spent,moderate
14.0,0.12724065706667784,0.8224366405275559,0.024017127517599348,0.02630557488816689,M,spent,moderate
15.0,0.1278969168397682,0.8214593756486004,0.024529072269740652,0.026114635241890744,M,available,moderate
16.0,0.12846884362694774,0.8207052596473157,0.0247618220126553,0.02606407471308123,M,available,moderate
17.0,0.11954184948673795,0.8239650445254474,0.026740096323381684,0.029753009664432954,M,available,moderate
18.0,0.10588249987650218,0.8290537050085475,0.029642996824213685,0.03542079829073657,M,available,moderate
19.0,0.09719099022958338,0.8333103953996963,0.031257197005907275,0.038241417364812964,M,available,moderate
20.0,0.09177130744418895,0.8368922406578566,0.03202976660421267,0.039306685293741615,M,available,moderate
21.0,0.08853171670545305,0.8398403008232064,0.03226905804447832,0.039358924426862334,M,available,moderate
22.0,0.08675779571673889,0.8421834610683397,0.03218467469343355,0.03887406852148778,M,available,moderate
23.0,0.0859746964877329,0.8439671917772935,0.031916514675748686,0.03814159705922502,M,available,moderate
24.0,0.08586242887209022,0.8452538120738449,0.0315555884234562,0.03732817063060876,M,available,moderate
25.0,0.08620279600384134,0.8461146500620693,0.031159104109499375,0.0365234498245899,M,available,moderate
26.0,0.08684553159408877,0.8466221023966327,0.030761387791427546,0.035770978217850996,M,available,moderate
27.0,0.09453466800931142,0.8459153771505644,0.028538194777928513,0.031011760062195557,M,available,moderate
28.0,0.10074303193048369,0.8435896236825718,0.02712958835892508,0.02853775602801941,M,available,moderate
29.0,0.10603354170938231,0.8420549809112937,0.022267079916259105,0.02964439746306485,M,spent,moderate
30.0,0.11030518738827187,0.8396750260205893,0.019935000471049312,0.030084786120089604,M,spent,moderate
31.0,0.11381437462277488,0.8371702383433178,0.018638919100716404,0.030376467933190848,M,spent,moderate
32.0,0.11655887093594602,0.8340236005453406,0.021459933294872332,0.02795759522384095,M,spent,moderate
33.0,0.11885782703717475,0.831213309438531,0.023149932205572255,0.026778931318722037,M,spent,moderate
34.0,0.09566101131313494,0.8357230869478874,0.029800454280937253,0.0388154474580403,M,spent,moderate
35.0,0.07071070562937615,0.8336228096748568,0.03808691691029537,0.057579567785471686,M,available,moderate
36.0,0.05153967486418428,0.8191211384019407,0.04693167999175548,0.08240750674211957,M,available,moderate
37.0,0.03869700081776619,0.7916474050437218,0.05589894219832072,0.11375665194019137,M,available,moderate
38.0,0.03192453179030395,0.7590873684801375,0.06341134194178231,0.1455767577877762,M,available,moderate
39.0,0.02828404124304123,0.7242241958155176,0.06975551991989959,0.1777362430215417,M,available,moderate
40.0,0.02623518426379447,0.6885438949345534,0.0751181420687072,0.21010277873294494,M,available,moderate
41.0,0.02378095455826726,0.6431221610606385,0.08076075686791723,0.25233612751317697,M,available,moderate
42.0,0.02143365818338127,0.5891778105484794,0.08597210630977384,0.3034164249583654,M,available,moderate
43.0,0.019328186047435962,0.5284896709202612,0.09017504407306516,0.36200709895923766,M,available,moderate
44.0,0.017960313078713087,0.4690383563997871,0.09276238151986115,0.4202389490016388,M,available,moderate
45.0,0.016943587840944505,0.41251726235593716,0.09394147063013213,0.4765976791729862,Lderate,available,moderate
46.0,0.016114999121512916,0.3602033149788429,0.09395490397884257,0.5297267819208017,Lderate,available,moderate
47.0,0.014923974194672548,0.3080324348455277,0.09285443187604912,0.5841891590837506,Lderate,available,moderate
48.0,0.01570408973656664,0.27728928137380526,0.09192889421645542,0.6150777346731727,Lderate,available,moderate
49.0,0.017352121479753766,0.26226702305614646,0.0917671035765371,0.6286137518875626,Lderate,available,moderate
50.0,0.019481290441102705,0.25898912684510716,0.0923920392488568,0.6291375434649334,Lderate,available,moderate
51.0,0.021934714395224254,0.2649431936228376,0.09361209400319595,0.6195099979787422,Lderate,available,moderate
52.0,0.024633442213167656,0.27859581732680244,0.09516286073291276,0.6016078797271172,Lderate,available,moderate
53.0,0.02752364220668892,0.2989963138999627,0.09676096594253335,0.576719077950815,Lderate,available,moderate
54.0,0.030555752008306375,0.32548536803381783,0.09812593704843676,0.545832942909439,Lderate,available,moderate
55.0,0.03367543600686205,0.35747776519800717,0.09899425547961653,0.5098525433155143,Lderate,available,moderate
56.0,0.03682024776165249,0.39429791905183936,0.09913532634703488,0.46974650683947333,Lderate,available,moderate
57.0,0.039920327846653204,0.43506498080046035,0.09837172737918447,0.42664296397370194,M,available,moderate
58.0,0.042902654338588836,0.4786379859056859,0.096601232014739,0.38185812774098626,M,available,moderate
59.0,0.0670247188185736,0.5899241286327723,0.07109999654756435,0.27195115600108966,M,spent,moderate
60.0,0.08692889212670733,0.6793621688611541,0.06123753708864893,0.1724714019234897,M,available,moderate
61.0,0.10109596296651936,0.7387354505569456,0.05112187491096597,0.10904671156556918,M,available,moderate
62.0,0.1105616486550404,0.7749862163598806,0.042759130609247624,0.07169300437583127,M,available,moderate
63.0,0.05234892350315343,0.7369358358205665,0.062495755262626344,0.14821948541365368,M,available,moderate
64.0,0.027683156392955627,0.6494340361534678,0.07736360692719274,0.24551920052638368,M,available,moderate
65.0,0.02543571481850435,0.6145498880230253,0.08058456538306497,0.2794298317754053,M,available,moderate
66.0,0.02891034254758627,0.6165736578598217,0.07980455181684182,0.2747114477757503,M,available,moderate
67.0,0.03437302992721655,0.6394299306753337,0.07698183983424718,0.24921519956320257,M,available,moderate
68.0,0.04048470454274182,0.6723619371304472,0.07274815955464532,0.2144051987721657,M,available,moderate
69.0,0.0465697478866725,0.7080720830331757,0.06755726076453998,0.17780090831561182,M,available,moderate
70.0,0.05224690308249762,0.7417864602878828,0.06190129580333905,0.14406534082628059,M,available,moderate
71.0,0.05732999808968773,0.7708275818711284,0.056261376764186105,0.1155810432749977,M,available,moderate
72.0,0.06177400735804994,0.794183011810157,0.051018459540351474,0.09302452129144158,M,available,moderate
73.0,0.06562343396219603,0.8119746547998724,0.0464067805938727,0.07599513064405898,M,available,moderate
74.0,0.0689658256541984,0.8249393637084705,0.042519706476291476,0.06357510416103966,M,available,moderate
75.0,0.07132710155778066,0.8347273396073681,0.033800195896151915,0.060145362938699376,M,spent,moderate
76.0,0.07284251247483386,0.8409208947055462,0.028769516051812476,0.0574670767678075,M,spent,moderate
77.0,0.07375594639078221,0.8445850711706823,0.030618659239374624,0.05104032319916093,M,spent,moderate
78.0,0.07434543050929196,0.8468596113894202,0.03174177278586807,0.04705318531541966,M,spent,moderate
79.0,0.0712423600793022,0.8471766786975419,0.033613195465334894,0.04796776575782099,M,spent,moderate
80.0,0.0662483330264521,0.8460773219838248,0.035933036539434395,0.05174130845028883,M,spent,moderate
81.0,0.06379146870245767,0.8457591714040312,0.03709165483889934,0.053357705054611806,M,available,moderate
82.0,0.06290329871810581,0.8460794753971329,0.03747684483708654,0.053540381047674696,M,available,moderate
83.0,0.06298593981904482,0.8468106638654305,0.03738301039366385,0.05282038592186084,M,available,moderate
84.0,0.06366541514144439,0.8477421862236686,0.03701106836569919,0.051581330269187736,M,available,moderate
